Sentence,S,D,I,POS_Tags,TF_IDF,Sentiment_Score,Custom_Embeddings,NER_Entities
This is Nicaragua where these 16 New Zealanders are about to begin the adventure of a lifetime.,,,,"['PRON', 'AUX', 'PROPN', 'SCONJ', 'DET', 'NUM', 'PROPN', 'PROPN', 'AUX', 'ADJ', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']",[0.         0.         0.         ... 0.         0.         0.31977355],0.136363636,"[-0.010341489687561989, 0.022210368886590004, 0.006628972943872213, -0.0001859992480603978, 0.012368999421596527, -0.034859199076890945, 0.014827352948486805, 0.04418793320655823, -0.01592513546347618, -0.014582638628780842, -0.005808766931295395, -0.030170630663633347, -0.004348490387201309, 0.010230940766632557, 0.010247408412396908, -0.013381730765104294, 0.005725132301449776, -0.012634746730327606, -0.005139466375112534, -0.037768278270959854, 0.010753046721220016, 0.012961347587406635, 0.014009185135364532, -0.011587760411202908, -0.0007442837813869119, 0.0044807009398937225, -0.010082192718982697, -0.01084364764392376, -0.029902108013629913, 0.004155901260674, 0.02895534038543701, -0.0027744839899241924, -0.0015186587115749717, -0.020912937819957733, -0.011781145818531513, 0.020965708419680595, 0.01200653612613678, -0.010384936816990376, -0.011960320174694061, -0.025681430473923683, 0.008026964031159878, -0.013740540482103825, -0.013330729678273201, 0.0019606167916208506, 0.025105711072683334, -0.0015237570041790605, -0.012935091741383076, -0.0076765636913478374, 0.013711451552808285, 0.01051283348351717, 0.009188171476125717, -0.014475632458925247, 0.000583144836127758, -0.004668328445404768, -0.019718894734978676, 0.01022687554359436, 0.002745659789070487, 0.004872179124504328, -0.01915704645216465, 0.005817584693431854, 0.004965269938111305, 0.0009551886469125748, 0.011513362638652325, -0.009170953184366226, -0.018653344362974167, 0.016598358750343323, 0.00976499728858471, 0.020591067150235176, -0.02763022482395172, 0.0230906680226326, -0.016196006909012794, 0.01453911792486906, 0.02130715362727642, 0.002881123684346676, 0.027779167518019676, 0.015033872798085213, -0.0022078529000282288, -0.0013015009462833405, -0.018763529136776924, 0.0011847589630633593, -0.013375741429626942, 0.002275398001074791, -0.014528841711580753, 0.025524817407131195, -0.0051276106387376785, -0.006039903499186039, 0.01112696249037981, 0.014786990359425545, 0.016527744010090828, 0.002974787261337042, 0.0266861692070961, 0.015024314634501934, 0.0058678830973804, 0.0007272823713719845, 0.03875996172428131, 0.015067271888256073, 0.01783563196659088, -0.018892856314778328, -0.004688816610723734, -0.0050795115530490875]","[('Nicaragua', 'GPE'), ('16', 'CARDINAL'), ('New Zealanders', 'NORP')]"
I know nothing about Nicaragua.,,,,"['PRON', 'VERB', 'PRON', 'ADP', 'PROPN', 'PUNCT']",[0. 0. 0. ... 0. 0. 0.],0,"[-0.006856550462543964, 0.01622691936790943, 0.007331004831939936, 0.002204000251367688, 0.009650176391005516, -0.03143193572759628, 0.015786219388246536, 0.03913385048508644, -0.01569155789911747, -0.014472804963588715, -0.004888167139142752, -0.029911046847701073, -0.0010558055946603417, 0.010652346536517143, 0.0050164200365543365, -0.00944515224546194, 0.004601751454174519, -0.012414570897817612, -0.006458973977714777, -0.03466024622321129, 0.0128317354246974, 0.015044127590954304, 0.014997204765677452, -0.00992891751229763, 0.002313510049134493, 0.003108869306743145, -0.014052274636924267, -0.0049474211409688, -0.025322619825601578, 0.005370012018829584, 0.02850211039185524, 0.0027262491639703512, 0.0069838715717196465, -0.024044515565037727, -0.013398224487900734, 0.016984354704618454, 0.010967506095767021, -0.013044935651123524, -0.013642622157931328, -0.02283964678645134, 0.003742626402527094, -0.01054832711815834, -0.01113030407577753, -3.432407902437262e-05, 0.024511367082595825, -0.0027065470349043608, -0.012189021334052086, -0.0054170358926057816, 0.01312400121241808, 0.013998856768012047, 0.00388333504088223, -0.014973062090575695, -0.0003934025880880654, -0.002066307235509157, -0.016654634848237038, 0.0030956720001995564, 0.0036170147359371185, 0.002961965976282954, -0.016411583870649338, 0.008242569863796234, 0.006078171543776989, -8.701327897142619e-05, 0.003404669463634491, -0.004645399283617735, -0.02273738570511341, 0.016949523240327835, 0.003171443473547697, 0.013796749524772167, -0.024456920102238655, 0.02171226590871811, -0.017651213333010674, 0.01339076180011034, 0.021813130006194115, 0.0006777063244953752, 0.0289757139980793, 0.009100334718823433, -0.0012653018347918987, 0.0008672998519614339, -0.018210820853710175, -0.0022549862042069435, -0.012814635410904884, 0.004063630476593971, -0.015538511797785759, 0.02617166005074978, -0.009424357675015926, -0.007302434649318457, 0.01727261021733284, 0.014950638636946678, 0.011208781972527504, 0.0026331115514039993, 0.023419607430696487, 0.014155551791191101, 0.0034194260369986296, 0.0022944207303225994, 0.03284274786710739, 0.012821811251342297, 0.015629246830940247, -0.02038242109119892, -0.006399337202310562, -0.0005283285863697529]","[('Nicaragua', 'GPE')]"
I had no idea where it was.,,,,"['PRON', 'VERB', 'DET', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'PUNCT']",[0. 0. 0. ... 0. 0. 0.],0,"[-0.009420232847332954, 0.019263487309217453, 0.003961407113820314, 0.00195119041018188, 0.007674024440348148, -0.028221195563673973, 0.01423576194792986, 0.03351030498743057, -0.016744274646043777, -0.01564527489244938, -0.0033953040838241577, -0.02613464556634426, -0.006383978296071291, 0.01019466482102871, 0.009489981457591057, -0.011181960813701153, 0.00507879164069891, -0.009479212574660778, -0.003676285734400153, -0.034689854830503464, 0.011791741475462914, 0.01505027711391449, 0.014518720097839832, -0.005631942301988602, -0.00047708890633657575, 0.005908013321459293, -0.00965647678822279, -0.007993778213858604, -0.02132936753332615, 0.005435972008854151, 0.02448643557727337, 0.00034297132515348494, 0.0032904185354709625, -0.01664533093571663, -0.005629307124763727, 0.015204952098429203, 0.011252755299210548, -0.009259256534278393, -0.013978459872305393, -0.02564273215830326, 0.0016799699515104294, -0.014284220524132252, -0.0082168560475111, 0.00023250740196090192, 0.01828998699784279, -0.0012678848579525948, -0.01154992263764143, -0.0029503791593015194, 0.014740025624632835, 0.009196280501782894, 0.0036671613343060017, -0.010705639608204365, -0.002297186991199851, 0.000447671307483688, -0.015948569402098656, 0.010160057805478573, 0.00278238533064723, 0.0025426812935620546, -0.017354808747768402, 0.006731230765581131, 0.0007367878570221364, -3.206570181646384e-05, 0.00860153790563345, -0.0057396069169044495, -0.015361607074737549, 0.011044280603528023, 0.012445810250937939, 0.017972705885767937, -0.018287595361471176, 0.02103576250374317, -0.012250004336237907, 0.014531333930790424, 0.017741376534104347, 0.0003253360919188708, 0.023442639037966728, 0.00937789585441351, -0.0001282556913793087, -0.0025978107005357742, -0.010118702426552773, -1.9824798073386773e-05, -0.010880361311137676, 0.0028571023140102625, -0.010591956786811352, 0.022140825167298317, -0.005534738302230835, -0.00457647955045104, 0.009532547555863857, 0.013704931363463402, 0.013644126243889332, 0.0028087825048714876, 0.023156359791755676, 0.011358833871781826, 0.0057145655155181885, 0.0023402178194373846, 0.03253324329853058, 0.011302345432341099, 0.01535149198025465, -0.019361110404133797, -0.0011443860130384564, 0.001713825622573495]",[]
I actually didn't know where South America or North North America was.,,,,"['PRON', 'ADV', 'AUX', 'PART', 'VERB', 'SCONJ', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PROPN', 'AUX', 'PUNCT']",[0. 0. 0. ... 0. 0. 0.],0,"[-0.000978070660494268, 0.013325856067240238, 0.0015045846812427044, 0.002046858659014106, 0.0024562531616538763, -0.020462941378355026, 0.012483189813792706, 0.023980185389518738, -0.0075294882990419865, -0.008123760111629963, -0.003027311759069562, -0.014813265763223171, -0.0007006970117799938, 0.007866245694458485, 0.0072600399143993855, -0.0070040542632341385, 0.004059818107634783, -0.0081507982686162, -0.0008132597431540489, -0.021571261808276176, 0.010547571815550327, 0.00756931072100997, 0.0035246226470917463, -0.0038249159697443247, 0.0010371357202529907, 0.0035337693989276886, -0.004675136413425207, -0.005846548359841108, -0.01629616692662239, 0.0023202833253890276, 0.017050007358193398, -0.000758193142246455, -0.0005989014753140509, -0.012636266648769379, -0.0054745860397815704, 0.012559070251882076, 0.0070198350585997105, -0.007099033799022436, -0.006663403008133173, -0.014911065809428692, 0.0003613126464188099, -0.007980943657457829, -0.005960592534393072, 0.0017366778338328004, 0.012260191142559052, 0.00039346562698483467, -0.010751725174486637, -0.002436018083244562, 0.008629969321191311, 0.00943800713866949, 0.005836857482790947, -0.008796724490821362, 0.0004235239466652274, -0.0025077511090785265, -0.010407176800072193, 0.007306894287467003, 0.004925218876451254, -0.0005558987031690776, -0.011943289078772068, 0.005986207630485296, 0.003468971699476242, 0.0006575888837687671, 0.00030887286993674934, -0.004952587652951479, -0.011740867979824543, 0.008907260373234749, 0.0045562325976789, 0.014088462106883526, -0.012697945348918438, 0.010811357758939266, -0.010975733399391174, 0.007200688123703003, 0.012896138243377209, -0.0018725072732195258, 0.016073139384388924, 0.007329966407269239, 0.00033777719363570213, 0.0018252216977998614, -0.010238070040941238, -0.0016437903977930546, -0.008983752690255642, 0.0022426436189562082, -0.006792477797716856, 0.016486631706357002, -0.004058200865983963, 0.0011057365918532014, 0.007143804337829351, 0.0082606952637434, 0.008970239199697971, 0.0009266990819014609, 0.019444329664111137, 0.009516102261841297, 0.002337604993954301, 0.0025397329591214657, 0.022659778594970703, 0.0072511727921664715, 0.006211487576365471, -0.010629371739923954, -0.0021551132667809725, 0.0007553740288130939]","[('South America', 'LOC'), ('North North America', 'LOC')]"
So I guess it's a massive shock because I'm from a little small town.,,,,"['ADV', 'PRON', 'VERB', 'PRON', 'AUX', 'DET', 'ADJ', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'ADP', 'DET', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']",[0. 0. 0. ... 0. 0. 0.],-0.145833333,"[-0.011656543239951134, 0.021953413262963295, 0.006376697216182947, -0.0018687028205022216, 0.011797689832746983, -0.03886969015002251, 0.01627437211573124, 0.04421299695968628, -0.013071618042886257, -0.01647399552166462, -0.0065365438349545, -0.02720971591770649, -0.0030095637775957584, 0.008493469096720219, 0.009331525303423405, -0.013644550926983356, 0.006804858800023794, -0.01716354303061962, -0.0038133631460368633, -0.0372038260102272, 0.014338473789393902, 0.014060244895517826, 0.013270788826048374, -0.009249848313629627, -0.001286621787585318, 0.003567792009562254, -0.008603162132203579, -0.006077993661165237, -0.029053224250674248, 0.0017383695812895894, 0.028874922543764114, -0.00011255567369516939, -0.0005984383751638234, -0.020191198214888573, -0.011951739899814129, 0.02259436808526516, 0.013811787590384483, -0.01210481021553278, -0.016959380358457565, -0.025892117992043495, 0.007645768579095602, -0.012808091938495636, -0.01078625675290823, -0.003780865343287587, 0.02302861213684082, -0.002585228532552719, -0.015856852754950523, -0.005300917197018862, 0.011879882775247097, 0.011482836678624153, 0.009307953529059887, -0.012164917774498463, -0.003647544654086232, -0.00583264883607626, -0.01758626475930214, 0.009134436957538128, 0.004819951020181179, 0.004911351483315229, -0.019135579466819763, 0.006986928638070822, 0.00540505675598979, 0.0017804139060899615, 0.009368414990603924, -0.009020197205245495, -0.015554556623101234, 0.017395686358213425, 0.010897653177380562, 0.019700217992067337, -0.026991456747055054, 0.02000858262181282, -0.018003733828663826, 0.015905721113085747, 0.018902262672781944, 0.00011441094829933718, 0.027402209118008614, 0.012196777388453484, 0.0013859744649380445, -0.001056001172401011, -0.02061442658305168, -0.0011905422434210777, -0.014158515259623528, 0.0036299186758697033, -0.015793656930327415, 0.028665130957961082, -0.008762992918491364, -0.005995963700115681, 0.013642899692058563, 0.017345532774925232, 0.014751889742910862, 0.005043535027652979, 0.027101069688796997, 0.014154670760035515, 0.003126375610008836, 0.004224387928843498, 0.035251542925834656, 0.013930064626038074, 0.01657155714929104, -0.02004169300198555, -0.0057396977208554745, -0.0026262153405696154]",[]
"It is the biggest country in Central America with a rich history colored with conflict and revolution, which is why it's fitting our fresh faced Kiwi survivors should face their own battle right here.",,,,"['PRON', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'SCONJ', 'PRON', 'AUX', 'VERB', 'PRON', 'ADJ', 'VERB', 'PROPN', 'NOUN', 'AUX', 'VERB', 'PRON', 'ADJ', 'NOUN', 'ADV', 'ADV', 'PUNCT']",[0. 0. 0. ... 0. 0. 0.],0.343452381,"[-0.00685430271551013, 0.013536803424358368, 0.0030179237946867943, -0.00017377549374941736, 0.00667794793844223, -0.022610893473029137, 0.009515241719782352, 0.027345633134245872, -0.008765943348407745, -0.007477063685655594, -0.004044133238494396, -0.018052812665700912, -0.0015046108746901155, 0.005468378309160471, 0.006777947302907705, -0.009304032661020756, 0.00269754184409976, -0.009516596794128418, -0.0032594685908406973, -0.023204708471894264, 0.007430625148117542, 0.008772370405495167, 0.008262868039309978, -0.009840250946581364, -0.0006048764917068183, 0.0014585340395569801, -0.006838166620582342, -0.004255499690771103, -0.019543686881661415, 0.0013821023749187589, 0.020498499274253845, 0.002135004149749875, 6.902424502186477e-05, -0.013709798455238342, -0.007643502205610275, 0.014419008046388626, 0.007565922569483519, -0.006555271800607443, -0.008744551800191402, -0.01730828918516636, 0.003503964049741626, -0.009369648061692715, -0.006401160266250372, -0.0013193866470828652, 0.016183678060770035, -0.0011420479277148843, -0.009941180236637592, -0.004340468905866146, 0.007830985821783543, 0.007595943287014961, 0.006576049607247114, -0.008119968697428703, -0.0015058073913678527, -0.0035749042872339487, -0.011052285321056843, 0.00613795081153512, 0.0024506468325853348, 0.002414821181446314, -0.011445647105574608, 0.003466102760285139, 0.003471817821264267, 0.001488600275479257, 0.008737864904105663, -0.00443720817565918, -0.013524077832698822, 0.01134132593870163, 0.0072802044451236725, 0.012372649274766445, -0.018429813906550407, 0.014416290447115898, -0.01278320886194706, 0.010356968268752098, 0.014379613101482391, 0.0023560570552945137, 0.01696234568953514, 0.007677859161049128, -0.00011122805153718218, -0.0018778885714709759, -0.012548849917948246, -0.0010417213197797537, -0.009513115510344505, 0.003337184200063348, -0.011515045538544655, 0.01969270408153534, -0.004567679483443499, -0.003950107842683792, 0.008347258903086185, 0.010066278278827667, 0.01085808128118515, 0.004710985813289881, 0.01869972050189972, 0.008582091890275478, 0.00351502513512969, 0.0006990436231717467, 0.02293766476213932, 0.010459525510668755, 0.011590862646698952, -0.01316922903060913, -0.0016272194916382432, -0.0029740065801888704]","[('Central America', 'LOC'), ('Kiwi', 'ORG')]"
"This is my game, this is my passion.",,,,"['PRON', 'AUX', 'PRON', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'PRON', 'NOUN', 'PUNCT']",[0. 0. 0. ... 0. 0. 0.],-0.4,"[-0.012023824267089367, 0.024890519678592682, 0.004486874211579561, -0.00204056641086936, 0.011132950894534588, -0.03469958156347275, 0.018396060913801193, 0.04561019316315651, -0.014961916022002697, -0.01334945484995842, -0.004078913480043411, -0.033219609409570694, -0.0014265179634094238, 0.010932613164186478, 0.012152188457548618, -0.01594170369207859, 0.0024413412902504206, -0.00991761777549982, -0.004569370765239, -0.04056589677929878, 0.013018581084907055, 0.014769297093153, 0.011539588682353497, -0.012351492419838905, -0.0008045877330005169, 0.0067785815335810184, -0.012014038860797882, -0.010068031959235668, -0.027530912309885025, -0.00010901078348979354, 0.02698991820216179, 0.0015347069129347801, 0.004395263269543648, -0.020985964685678482, -0.01374683529138565, 0.022076047956943512, 0.013612380251288414, -0.009687169454991817, -0.015054438263177872, -0.02839951030910015, 0.0056703947484493256, -0.011405582539737225, -0.01145145483314991, -0.00045926071470603347, 0.026655953377485275, -0.007302829530090094, -0.010008085519075394, -0.006657727062702179, 0.014895923435688019, 0.010519742965698242, 0.011352438479661942, -0.012867477722465992, -0.0033347532153129578, -0.0062953270971775055, -0.0158526673913002, 0.004793406464159489, 0.004110767040401697, 0.001526990788988769, -0.01783733256161213, 0.0027818551752716303, 0.0006828098557889462, -0.001017197035253048, 0.012004107236862183, -0.010178575292229652, -0.020338431000709534, 0.017012303695082664, 0.009550157003104687, 0.023158365860581398, -0.03160243481397629, 0.024593478068709373, -0.016318785026669502, 0.017018016427755356, 0.022243523970246315, 0.0018893404630944133, 0.029734227806329727, 0.012290078215301037, -0.0004255151143297553, -0.005018440540879965, -0.02068975754082203, -0.0007980025839060545, -0.016781829297542572, -0.001239551929756999, -0.016770634800195694, 0.02578408643603325, -0.003905246267095208, -0.00855468213558197, 0.01265998650342226, 0.017558351159095764, 0.018072662875056267, 0.005337462294846773, 0.026153655722737312, 0.013851834461092949, 0.010336614213883877, 0.0027603693306446075, 0.03992190957069397, 0.01680385135114193, 0.02251761220395565, -0.013995403423905373, -0.003171751741319895, -0.0026002656668424606]",[]
"I know how to mess with people, but I also know how to get them to trust me.",,,,"['PRON', 'VERB', 'SCONJ', 'PART', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'ADV', 'VERB', 'SCONJ', 'PART', 'VERB', 'PRON', 'PART', 'VERB', 'PRON', 'PUNCT']",[0. 0. 0. ... 0. 0. 0.],-0.175,"[-0.01279827207326889, 0.027498746290802956, 0.006156196352094412, 0.00030987325590103865, 0.012332309037446976, -0.0480547659099102, 0.0200697910040617, 0.05562688410282135, -0.02057885192334652, -0.02116776630282402, -0.00737289572134614, -0.037631914019584656, -0.006213786546140909, 0.016023429110646248, 0.009410958737134933, -0.016114791855216026, 0.008080141618847847, -0.017911627888679504, -0.0053594098426401615, -0.0475693978369236, 0.01681915670633316, 0.01654699072241783, 0.018297120928764343, -0.014468331821262836, -0.0002037884114542976, 0.0012758310185745358, -0.012159517966210842, -0.010281149297952652, -0.03785865753889084, 0.005530158989131451, 0.03630642965435982, 0.00024185901565942913, 0.0044797309674322605, -0.032084301114082336, -0.015044684521853924, 0.024625293910503387, 0.015726402401924133, -0.014030168764293194, -0.014105111360549927, -0.03393545374274254, 0.007965875789523125, -0.018122490495443344, -0.014393546618521214, -0.0027117228601127863, 0.032380733639001846, 0.0005903520504944026, -0.01759948395192623, -0.008220021612942219, 0.01897367462515831, 0.016336262226104736, 0.012314055114984512, -0.016882088035345078, -0.0024990064557641745, -0.004656670149415731, -0.019663259387016296, 0.013569633476436138, 0.006498729810118675, 0.005196686834096909, -0.024150358512997627, 0.010751615278422832, 0.003796100616455078, 0.0006273575709201396, 0.008679209277033806, -0.010379488579928875, -0.02322070300579071, 0.022913657128810883, 0.01387004368007183, 0.02140946500003338, -0.032273948192596436, 0.03155125677585602, -0.020903564989566803, 0.015110275708138943, 0.026780277490615845, -7.4382664934091736e-06, 0.03555365651845932, 0.013878841884434223, 7.430709956679493e-05, -0.00031136017059907317, -0.0232324730604887, -0.0011843579122796655, -0.01740339957177639, 0.004514108411967754, -0.021747218444943428, 0.03435578569769859, -0.009227193892002106, -0.009484682232141495, 0.014850039966404438, 0.018550820648670197, 0.02291233092546463, 0.008440482430160046, 0.03504093736410141, 0.015686197206377983, 0.006354453042149544, 0.0013461123453453183, 0.04006926715373993, 0.019413283094763756, 0.020620137453079224, -0.026561934500932693, -0.0069780778139829636, -0.0009450949728488922]",[]
"And I'm funny, I'm charming.",,,,"['CCONJ', 'PRON', 'AUX', 'ADJ', 'PUNCT', 'PRON', 'AUX', 'ADJ', 'PUNCT']",[0. 0. 0. ... 0. 0. 0.],0.475,"[-0.008444316685199738, 0.013860492035746574, -0.0010962027590721846, 0.00408892473205924, 0.006332003977149725, -0.026109537109732628, 0.006841564085334539, 0.029925405979156494, -0.008029572665691376, -0.01272023655474186, -0.002509701531380415, -0.023714832961559296, -0.001967841060832143, 0.006142358761280775, -0.00026557454839348793, -0.00595319177955389, 0.002589792013168335, -0.015605101361870766, -0.0006680696969851851, -0.02553565427660942, 0.008539173752069473, 0.011173415929079056, 0.004227576777338982, -0.00798862986266613, 0.0019307531183585525, 0.005171182565391064, -0.012274201959371567, 0.000535313505679369, -0.02175016514956951, 0.000930523150600493, 0.019558535888791084, 0.002981786848977208, 0.0029235819820314646, -0.007249274291098118, -0.00914866290986538, 0.01879812590777874, 0.013570894487202168, -0.007534774485975504, -0.008462903089821339, -0.017580870538949966, 0.004719650838524103, -0.006423656828701496, -0.005150576122105122, -0.00024967407807707787, 0.01564428210258484, -0.0011151463259011507, -0.008644046261906624, -0.0017710588872432709, 0.011772019788622856, 0.012892214581370354, 0.00604730611667037, -0.0064040543511509895, -0.004045090638101101, 0.0004660261911340058, -0.010395373217761517, 0.004376181401312351, 0.0020481417886912823, -0.000689294480253011, -0.00885542668402195, 0.0021290502045303583, 0.0026891089510172606, 0.004743505734950304, 0.012756322510540485, -0.0022159223444759846, -0.014417978003621101, 0.0074656130746006966, 0.005727791227400303, 0.009809625335037708, -0.01686774753034115, 0.014750339090824127, -0.005607663653790951, 0.011646921746432781, 0.013416560366749763, -0.0035379515029489994, 0.0192653127014637, 0.006271871272474527, -0.004520486108958721, -0.00416096206754446, -0.007311624474823475, 0.0004907181719318032, -0.00782276876270771, 0.0027222461067140102, -0.010501581244170666, 0.017977790907025337, -0.003794238669797778, -0.010755821131169796, 0.003970521967858076, 0.014331996440887451, 0.010466763749718666, 0.004489290527999401, 0.014141114428639412, 0.012925812974572182, 0.004714352078735828, 0.005153420381247997, 0.026201944798231125, 0.0070609948597848415, 0.00931367464363575, -0.008460902608931065, 0.0009362074779346585, -0.0029573440551757812]",[]
I've got it all staged in the lush tropical jungle filled with diverse and dangerous wildlife.,,,,"['PRON', 'AUX', 'VERB', 'PRON', 'PRON', 'VERB', 'ADP', 'DET', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'ADP', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']",[0. 0. 0. ... 0. 0. 0.],-0.033333333,"[-0.007984751835465431, 0.01904957927763462, 0.004394889809191227, -0.0024679286871105433, 0.009445421397686005, -0.031231023371219635, 0.012389526702463627, 0.03697899356484413, -0.013351584784686565, -0.012929295189678669, -0.006392583716660738, -0.027620607987046242, -0.003753022523596883, 0.009909185580909252, 0.005181005224585533, -0.012845496647059917, 0.004075814504176378, -0.01154287438839674, -0.0007896771421656013, -0.034959983080625534, 0.01180893462151289, 0.012208878993988037, 0.011248442344367504, -0.009661635383963585, -0.0007974132313393056, 0.0017810584977269173, -0.006801622454077005, -0.0071504982188344, -0.023808810859918594, 0.002527415519580245, 0.026917140930891037, 0.0027905877213925123, 0.0009212721488438547, -0.02042003534734249, -0.006467347964644432, 0.016310391947627068, 0.011702732183039188, -0.012338119558990002, -0.01303295698016882, -0.026413047686219215, 0.0031369999051094055, -0.012887557037174702, -0.010887809097766876, 0.003383208531886339, 0.0228448323905468, -0.0059064896777272224, -0.01236811000853777, -0.0055570839904248714, 0.013653573580086231, 0.010321239940822124, 0.00887907575815916, -0.010311216115951538, -0.000609454931691289, -0.00403249729424715, -0.014742388390004635, 0.009377668611705303, 0.003895529080182314, 0.00222186092287302, -0.019304119050502777, 0.005932701285928488, 0.0033939441200345755, 0.00020293323905207217, 0.007304266095161438, -0.006890174001455307, -0.01632315292954445, 0.01765456795692444, 0.010398073121905327, 0.016771381720900536, -0.02321089617908001, 0.02121698670089245, -0.01639963500201702, 0.014156585559248924, 0.019065067172050476, 0.0014016596833243966, 0.02424691803753376, 0.01231133472174406, 0.0015008023474365473, 0.0006832496146671474, -0.01604965142905712, -0.002909427974373102, -0.013388351537287235, 0.0031011314131319523, -0.01704837940633297, 0.025378599762916565, -0.0064665786921978, -0.0025246795266866684, 0.01043068990111351, 0.015429619699716568, 0.01795717142522335, 0.0063979546539485455, 0.02639617957174778, 0.01291970070451498, 0.005290214437991381, -7.983483374118805e-05, 0.030507003888487816, 0.011666915379464626, 0.013462559320032597, -0.01705254055559635, -0.004561391193419695, -0.0031863453332334757]",[]
