original,french,back_to_english
"This is Nicaragua, where these 16 New Zealanders are about to begin the adventure of a lifetime.","ce sont des gens qui ont ' ont fait , à la ' de la , , de la , , de la .","they are the the , , the the , the the the the the the the the the ."
I know nothing about Nicaragua. I had no idea where it was.,"je ne sais pas ' ai pas , , , ' il ne ' ' pas pas , .","i don not t , , i , not to to ."
I actually didn't know where South America or North America was.,"je ne ' ai pas , , , , , , , , , , , de la .","i have no , , , , , , , , , , and the ."
"So I guess it's a massive shock, because I'm from a little, small town.","je ' ai ai , , je ' ai ' ai , , , , , , , , , je m ' as dans la chambre .","i have , i i , i i , i , i , and the , the the , and the ."
"It is the biggest country in Central America,","c ' est la ' de la , , , , , , , et de ' , et de .","the water , the , and the , , and the , and the ."
with a rich history coloured with conflict...,"un ' de de , , de la , , de la .","from the , , the the ."
and revolution.,et et m ' ont conté .,and i .
Which is why it's fitting our fresh-faced Kiwi survivors should face their own battle right here.,"c ' est que ' ' de ' , , , , , , , , , , , , , de la , .","it ' s , , , , , , , , , , , , , , , and the ."
This is my game. This is my passion.,"c ' est que ' ' de la ' , je m ' as dans le monde .",it is s the to of the .
"I know how to mess with people, but I also know how to get them to trust me.","je me souviens que je ' ' ai , , , ' , , , ' , , ' , , ' ' , je me ' .","i have i , i , , i , i , i , ."
And I'm funny. I'm charming. I've got it all.,"et je suis ai , je ' ai ' ai ' un , ' un , ' un coup… de ' .","and i , a a , i i a a ."
"Staged in the lush, tropical jungle, filled with diverse and dangerous wildlife...","des , , des et , des brutalités , des brutalités , , et , , , , , , , , , , , , , et de ' , , et de ' , , de la , , et de .","from the , , and and and , and and , and and , and and , and and , , and the , , and the , , and the the of the ."
"Yes, there are jaguars, snakes, scorpions, and big ugly spiders.","oui , c ' est toi , et , , , , , , , , , , , , , .","yes , it was , , , , , , , , , , and , , and laurent ."
"They are out there, but they've always been out there.","ils sont sont , , , , , , , , , , , , , ' .","they are , , , , , , , , , , , , and the the the ."
It's not like every day a Kiwi wakes up and looks outside and sees a jaguar or a tarantula.,"elle ne ' pas pas ' un , , , , , , , , , , , , , , , , , et de ' .","she would not have , , , , , , , , , , , , , , and , , and ."
"And I'll take on any gang member, but I won't take on a spider.","je ' ai ' ai ' un , tu ' ' , , je ne ' pas pas , je ne ' ai pas , je ne ' ai pas .","i have , i i , i i not to to ."
Just how will New Zealanders cope competing in the world's toughest game?,"comment faire des choses de de la , , de la , de la , de la , de la , de la .","how long the the of the the , , the the , the the , the the , the the ."
"8,000 people applied, and the Kiwi survived.","les invités , , , , , , , , , , , , , , et les .","the , , , , , , and , , and , , and the , and the ."
Yahoo!,"un jour ,",a day night .
"The following footage is from our vault of classics, taken ten years ago.","les jours de sont , , , ' , , , , , , , , , , ' il y a des rentes , et nous .","the other , , , , , , , and , , and , , and , , and we are ."
Those ages 30 and over should take into consideration when watching this video.,"les jours de de la , , , , , , , , , , , , , et de ' .","the of of the , , and , , , , and , , and the , and the ."
"Come on over, guys!","mais , , , , , ' un , , ' un .","but , , , , a a ."
I am so excited. Just standing on this beach is unreal.,"je ' ai ' , , ' un , ' un de ' , , ' un , de ' un , de ' un .","i was a a a , , a a a a a . ."
I have to keep pinching myself and reminding myself where I am.,"je suis ai ai ' de , et je , je ' ' ai , , je me ' et je me ' .","i felt a , and i i , i , i i , i i ."
"It's just, like, an absolute dream to me.","c ' est bien que ' un homme , ' un , ' un , ' un , ' un de ' , , ' un .","it was a a a , , a a , a a , and a ."
"Welcome to Nukaragua, and New Zealand's first ever Survivor.","michaud , sans doute , ' il , ' il , ' il , ' ' il se remettrait à la .","listen to him , he he to himself , he he , he would not to to to ."
"In this first season, 16 of you will be competing against one another","ce dernier , , ' est , , ' un de ' , , ' un de ' , ,","this , , , , , , a a a a ."
"to see who can outwit, outlast, and outplay the rest,","il faut que ' aller à la , , et de la , , et de la , , et de la .","it must be to the , and the the , and the , and the the the the ."
"and take away $100,000.","et et de , , ' un , de , et de ' .","and , and , and and and a ."
