Start Time,End Time,Sentence,Corrected Sentence,Translation,Student_Emotion,Pipeline_Emotion,Core_Pipeline_Emotion,Corrected_Emotion
"00:57:44,000","00:57:47,000","Heb je een vriend? Nee, ik heb geen vriend.","Heb je een vriend? Nee, ik heb geen vriend.",Do you have a friend? No I do not have a friend.,neutral,neutral,neutral,neutral
"00:57:47,000","00:57:50,000","Wil je een single? Ja, ik ben al vier jaar single.","Wil je een single? Ja, ik ben al vier jaar single.","Do you want a single? Yes, I've been single for four years.",neutral,neutral,neutral,neutral
"00:57:50,000","00:57:52,000",Oh. Maar vind je dat...,Oh. Maar vind je dat...,Oh. But do you think that...,neutral,curiosity,neutral,neutral
"00:57:52,000","00:57:55,000","Bewust, niet bewust. Ik vind het goed dat het is.","Bewust, niet bewust. Ik vind het goed dat het is.","Consciously, not consciously. I think it's good that it is.",neutral,realization,surprise,neutral
"00:57:55,000","00:57:57,000",Je gaat er ook niet naar opzoeken? Nee.,Je gaat er ook niet naar opzoeken? Nee.,You're not going to look for it either? No.,neutral,neutral,neutral,neutral
"00:57:57,000","00:57:59,000","Er staat wel voor open, maar het is niet.","Er staat wel voor open, maar het is niet.","It is open to it, but it is not.",neutral,confusion,sadness,sadness
"00:57:59,000","00:58:02,000",Misschien is dat een oprecht om elkaar beter te herkennen.,Misschien is dat een oprecht om elkaar beter te herkennen.,Maybe that is a genuine way to recognize each other better.,neutral,optimism,happiness,neutral
"00:58:02,000","00:58:05,000","We gaan straks een quiz krijgen. Ja, oké.","We gaan straks een quiz krijgen. Ja, oké.","We're going to have a quiz later. Yes, okay.",neutral,excitement,happiness,neutral
"00:58:05,000","00:58:07,000",Jij eerst.,Jij eerst.,You go first.,neutral,neutral,neutral,neutral
"00:58:07,000","00:58:09,000","Jij bent Sonja. Sonja, 26 jaar.","Jij bent Sonja. Sonja, 26 jaar.","You are Sonja. Sonja, 26 years old.",neutral,neutral,neutral,neutral
"00:58:09,000","00:58:11,000",Van Antwerpen. Ja.,Van Antwerpen. Ja.,From Antwerp. Yes.,neutral,neutral,neutral,neutral
"00:58:11,000","00:58:14,000","Jij gaat niet naar KDG. Nee, ik ga naar AP.","Jij gaat niet naar KDG. Nee, ik ga naar AP.","You're not going to KDG. No, I'm going to AP.",neutral,neutral,neutral,neutral
"00:58:14,000","00:58:17,000",Ik studeer lager onderwijs. Mijn laatste jaar.,Ik studeer lager onderwijs. Mijn laatste jaar.,I study primary education. My senior year.,neutral,pride,happiness,neutral
"00:58:17,000","00:58:18,000",Laatste jaar? Ja.,Laatste jaar? Ja.,Last year? Yes.,neutral,neutral,neutral,neutral
"00:58:18,000","00:58:20,000","Jij bent mijn bijvrouw. Ja, ja.","Jij bent mijn bijvrouw. Ja, ja.",You are my concubine. Yes Yes.,neutral,amusement,happiness,happiness
