Sentence,Translation,English Translation,Error,Explanation 
This is Nicaragua where these 16 New Zealanders are about to begin the adventure of a lifetime.,Questo √® il Nicaragua dove questi 16 neozelandesi stanno per iniziare l'avventura di una vita.,This is Nicaragua where these 16 New Zealanders are about to start the adventure of a lifetime.,3,
I know nothing about Nicaragua.,Non so niente del Nicaragua.,I don't know anything about Nicaragua.,3,
I had no idea where it was.,Non avevo idea di dove fosse.,I had no idea where he was.,2,Incorrect pronoun substitution (ìitî was rendered as ìheî when referring to Nicaragua)
I actually didn't know where South America or North North America was.,In realta' non sapevo dove fosse il Sud America o il Nord America.,"Actually, I didn't know where South America or North America was.",3,
So I guess it's a massive shock because I'm from a little small town.,Quindi immagino sia uno shock enorme perche' vengo da una piccola citta'.,So I guess it's a huge shock because I'm from a small town.,3,
"It is the biggest country in Central America with a rich history colored with conflict and revolution, which is why it's fitting our fresh faced Kiwi survivors should face their own battle right here.","E' il paese piu' grande dell'America Centrale con una ricca storia colorata di conflitti e rivoluzione, ed e' per questo che i nostri nuovi sopravvissuti Kiwi dovrebbero affrontare la loro battaglia proprio qui.","It's the largest country in Central America with a rich history of conflict and revolution, which is why our new Kiwi survivors should face their battle right here.",3,
"This is my game, this is my passion.","Questo √® il mio gioco, questa √® la mia passione.","This is my game, this is my passion.",3,
"I know how to mess with people, but I also know how to get them to trust me.","So come incasinare le persone, ma so anche come far si' che si fidino di me.","I know how to mess people up, but I also know how to make them trust me.",2,"ìmess with peopleî is changed to ìmess people up,î which shifts the nuance slightly."
"And I'm funny, I'm charming.","E sono divertente, affascinante.","And I'm funny, charming.",3,
I've got it all staged in the lush tropical jungle filled with diverse and dangerous wildlife.,Ho messo tutto in scena nella lussureggiante giungla tropicale piena di fauna selvatica variegata e pericolosa.,I staged everything in the lush tropical jungle full of varied and dangerous wildlife.,3,
"Yes, there are jaguars, snakes, scorpions and big ugly spiders.","S√¨, ci sono giaguari, serpenti, scorpioni e grandi ragni brutti.","Yes, there are jaguars, snakes, scorpions and big ugly spiders.",3,
"They are out there, but they've always been out.","Sono la' fuori, ma sono sempre stati fuori.","They're out there, but they've always been out.",3,
It's not like every day a kiwi wakes up and looks outside and sees a jaguar or a tarantula.,Non √® come ogni giorno un kiwi si sveglia e guarda fuori e vede un giaguaro o una tarantola.,It's not like every day a kiwi wakes up and looks out and sees a jaguar or tarantula.,2,The translation omits the article ìaî before ìtarantula.î
"And I'll take on any gang member, but I won't take on a spider.","E prendero' qualsiasi membro della gang, ma non prendero' un ragno.","And I'm gonna take any gang member, but I'm not gonna take a spider.",3,
Just how will New Zealanders cope competing in the world's toughest game?,Come faranno i neozelandesi a competere nel gioco pi√π duro del mondo?,How will New Zealanders compete in the toughest game in the world?,2,"ìcope competingî is rephrased as ìcompete,î which changes the nuance of dealing with challenges."
"8,000 people applied, just 16 will make it to the beach.","8.000 persone hanno fatto domanda, solo 16 arriveranno in spiaggia.","8,000 people have applied, only 16 will arrive at the beach.",3,
"But in 40 days time, there will be only one Survivor.","Ma tra 40 giorni, ci sara' un solo sopravvissuto.","But in 40 days, there'll only be one survivor.",3,
"Come on over, guys.","Venite qui, ragazzi.","Come here, boys.",3,
I am so excited.,Sono cosi' emozionata.,I'm so excited.,3,
Just standing on this beach is unreal.,Stare su questa spiaggia e' irreale.,Being on this beach is unreal.,3,
I have to keep pinching myself and reminding myself where I am.,Devo continuare a pizzicarmi e ricordarmi dove sono.,I have to keep pinching and remember where I am.,2,"Omits the reflexive pronoun ìmyselfî in both instances, reducing the emphasis."
It's just like an absolute dream to me.,E' come un sogno assoluto per me.,It's like an absolute dream for me.,3,
Welcome to Nicaragua and New Zealand's first ever Survivor.,Benvenuti in Nicaragua e il primo sopravvissuto della Nuova Zelanda.,Welcome to Nicaragua and the first survivor of New Zealand.,1,"translates ìNew Zealand's first ever Survivorî as ìthe first survivor of New Zealand,î which completely changes the intended meaning (referring to the show rather than a person)."
"In this first season, 16 of you will be competing against one another to see who can outwit, outlast and outplay the rest and take away $100,000.","In questa prima stagione, 16 di voi gareggeranno l'uno contro l'altro per vedere chi pu√≤ superare, superare e superare il resto e portare via $100,000.","In this first season, 16 of you will compete against each other to see who can overcome, overcome and overcome the rest and take away $100,000.",1,"The  phrase ìoutwit, outlast and outplayî is misrendered as ìovercome, overcome and overcome,î which is a major error."
I dream of being in a Tribal Council.,Sogno di essere in un consiglio tribale.,I dream of being in a tribal council.,3,
"I dream of being on the sand, I dream of in the water.","Sogno di essere sulla sabbia, sogno di essere in acqua.","I dream of being in the sand, dream of being in the water.",2,Uses ìin the sandî instead of the idiomatic ìon the sand.î
"Like, this is incredible.","Cioe', e' incredibile.","I mean, it's unbelievable.",3,
Any of you more than happy to be labelled the villain if it means winning this game?,Qualcuno di voi e' piu' che felice di essere etichettato come cattivo se significa vincere questo gioco?,Are any of you more than happy to be labeled bad if it means winning this game?,1,"ìlabelled the villainî is inaccurately translated as ìlabeled bad,î losing the specific connotation."
Dee?,Dee?,Dee?,3,
I'm in.,Ci sto.,I'm in.,3,
I'm surprised by your answer.,Sono sorpreso dalla tua risposta.,I'm surprised at your answer.,3,
"I think that generally I'm gonna be labelled the villain just for the way that I look, so I might as well accept that.","Penso che in genere verro' etichettato come cattivo solo per il mio aspetto, quindi tanto vale che lo accetti.","I think I'm usually labeled a bad guy just because of my looks, so I might as well accept it.",1,"again, ìthe villainî is rendered as ìa bad guy,î which alters the intended nuance."
"And if it means winning the game, why wouldn't you do whatever it takes?","E se significa vincere la partita, perche' non fai tutto il necessario?","And if it means winning the game, why don't you do whatever it takes?",2,"The modal shifts from ìwhy wouldn't youî to ìwhy don't you,î slightly losing the conditional nuance."
Do you think Dee's already looking like the villain?,Pensi che Dee abbia gia' l'aspetto del cattivo?,You think Dee already looks like the bad guy?,1,"Translates ìDo you think Dee's already looking like the villain?î as ìYou think Dee already looks like the bad guy?î, both altering structure and misrendering ìvillain.î"
You never know.,Non si sa mai.,You never know.,3,
Looks can be deceiving.,Le apparenze ingannano.,Appearances deceive.,2,"ìLooks can be deceivingî is replaced with ìAppearances deceive"""
Any of you guys think you've got game when it comes to the physical challenges?,C'e' qualcuno di voi che pensa di avere una partita quando si tratta di sfide fisiche?,Any of you think you have a game when it comes to physical challenges?,1,"The idiom ìgot gameî is mis-translated as ìhave a game,î losing the intended meaning of possessing skill or competitiveness."
Nathan?,Nathan?,Nathan?,3,
"Maybe a few years ago, but I'm an old man now who thinks they can put food on the table.","Forse qualche anno fa, ma ora sono un vecchio che pensa di poter mettere del cibo sul tavolo.","Maybe a few years ago, but now I'm an old man who thinks he can put food on the table.",2,"Changes the ambiguous ìtheyî to the singular ìhe,î which alters the reference."
"Tony, how are you gonna do that?","Tony, come pensi di farlo?","Tony, how are you gonna do this?",2,Use this instead of that 
"Well, there's a lot of Stuff that creeps around out there in the bush.","Beh, c'e' un sacco di roba che si innervosisce la' fuori nel cespuglio.","Well, there's a lot of stuff getting nervous out there in the bush.",1,": ìcreeps aroundî is rendered as ìgetting nervous,î which completely alters the intended meaning regarding wildlife movement."
I'm sure I can come up with something that is edible.,Sono sicuro di poter trovare qualcosa di commestibile.,I'm sure I can find something edible.,3,
Things they teach as a soldier is attention to detail.,Le cose che insegnano come soldato sono attenzioni ai dettagli.,The things they teach as a soldier are attention to detail.,3,
I'm also a former unit tractor track a human through the bush.,Sono anche un'ex unit√† di trattore che rintraccia un umano attraverso il cespuglio.,I'm also a former tractor unit that tracks a human through the bush.,1,"The original ìformer unit tractor track a humanî is misinterpreted as ìformer tractor unit that tracks a human,î changing the intended meaning."
I can stay on this beach for a month and all I need water.,Posso stare su questa spiaggia per un mese e tutto quello che mi serve √® acqua.,I can stay on this beach for a month and all I need is water.,3,
"I mean, this environment.","Voglio dire, questo ambiente.","I mean, this environment.",3,
"Yes, it's hot.","Si', fa caldo.","Yeah, it's hot.",3,
It's horrible.,E' orribile.,It's horrible.,3,
"Hey, guess what?","Ehi, indovina un po'?","Hey, guess what?",3,
This is Survivor.,Questo e' il sopravvissuto.,This is the survivor.,3,
"All right, let's get into it.","D'accordo, iniziamo.","All right, let's get started.",3,
First things first.,Prima le cose importanti.,First things first.,3,
"The teams come forward and take your buff, orange buffs, your Mogoton.","Le squadre si fanno avanti e prendono i vostri amichetti arancioni, il vostro Mogoton.","Teams come forward and take your little orange buddies, your Mogoton.",2,"Most of the sentence has the same meaning only the part take your buff and orange buff is changed to your orange buddies, "
Salah.,Salah.,Salah.,3,
Woohoo.,Woohoo.,Woohoo.,3,
Anna.,Anna.,Anna.,3,
I am plus size.,Io sono piu' grande.,I'm older.,1,Has a diferent meaning one is about weight the other about age
"I'm as a model, I play roller derby and I am a powerlifter.","Sono un modello, gioco a Roller Derby e sono un powerlifter.","I'm a model, I play Roller Derby, and I'm a powerlifter.",2,It has some minor mistakes but overall has the same meaning 
Abby.,Abby.,Abby.,3,
Isabelle.,Isabelle.,Isabelle.,3,
Hey.,Ehi.,Hey.,3,
I'm here on Survivor because I can't resist a challenge.,Sono qui su Survivor perche' non posso resistere a una sfida.,I'm here on Survivor because I can't resist a challenge.,3,
I love proving people wrong and I just love it when people get surprised and they think I can't do something and then I do it.,Adoro dimostrare che le persone sbagliano e adoro quando le persone si sorprendono e pensano che non posso fare qualcosa e poi lo faccio.,I love to prove that people are wrong and I love it when people are surprised and think that I can't do something and then I do it.,3,
Tom.,Tom.,Tom.,3,
"Gosh, my heart's racing.","Cavolo, il mio cuore batte forte.","Man, my heart beats hard.",2,Minor mistake still has the same meaning
Shayna.,Shayna.,Shayna.,3,
Yeah.,Si'.,Yeah.,3,
Anthony.,Anthony.,Anthony.,3,
Anthony.,Anthony.,Anthony.,3,
"And last but probably not least, Louisa.","E ultimo ma probabilmente non meno importante, Louisa.","And last but probably not least, Louisa.",3,
Thanks.,Grazie.,Thank you.,3,
"Cheers, Sala.","Salute, Sala.","Cheers, Sala.",3,
"And Shayna, you're looking pretty stoked.","E Shayna, sei molto entusiasta.","And Shayna, you're very excited.",2,"""Looking pretty stoked"" suggests a higher degree of excitement and enthusiasm than simply being ""very excited."""
How are you feeling about your new tribe?,Come ti senti per la tua nuova tribu'?,How do you feel about your new tribe?,3,
"I've got my brother from another mother over here, which I'm really happy about.","Ho mio fratello da un'altra madre qui, di cui sono davvero felice.","I've got my brother from another mother here, which I'm really happy about.",3,
"Shay, when she walked over and she said, you know, brother from another mother, that saying worried me because it's felt like a strategic backline alliance.","Shay, quando e' arrivata e ha detto, sai, fratello di un'altra madre, quel detto mi ha preoccupato perche' sembrava un'alleanza strategica.","Shay, when she came in and said, you know, another mother's brother, that saying bothered me because it looked like a strategic alliance.",1,"Because the part with ""brother from another mother"" is not correctly translated and there is also a small minor mistake after it."
"Your Mogoton tribe, named after Nicaragua's highest mountain.","La tua tribu' di Mogoton, che prende il nome dalla montagna piu' alta del Nicaragua.","Your tribe of Mogoton, named after the highest mountain in Nicaragua.",3,
"Be interesting to see if you can live up to your mighty name, which means purple buffs for you other guys.","Sarebbe interessante vedere se riesci ad essere all'altezza del tuo nome possente, il che significa viola per voi altri ragazzi.","It would be interesting to see if you can live up to your mighty name, which means purple to you other guys.",2,"The original translation ""purple buffs"" is more related to the phrase."
Barb.,Barb.,Barb.,3,
Yes.,S√¨.,Yes.,3,
I look good in blue.,Sto bene in blu.,I'm fine in blue.,1,The meaning is entirely diferent between the two translations
"It's purple, isn't it?","E' viola, vero?","It's purple, isn't it?",3,
"No, but it's a cool colour.","No, ma e' un colore figo.","No, but it's a cool color.",3,
Okay.,Ok.,Okay.,3,
Georgia.,Georgia.,Georgia.,3,
"I don't know why I had this feeling, but I didn't want to be in that first team.","Non so perche' avessi questa sensazione, ma non volevo entrare in quella prima squadra.","I don't know why I had this feeling, but I didn't want to be on that first team.",3,
I was actually stoked.,In realta' ero entusiasta.,"Actually, I was excited.",2,"Stoked has a stronger connotation of excitement than just ""excited."""
"When I looked around, saw the members, I was so super happy.","Quando ho guardato in giro, ho visto i membri, ero cos√¨ super felice.","When I looked around, I saw the members, I was so super happy.",3,
Made it.,Ce l'ho fatta.,I did it.,3,
Made it.,Ce l'ho fatta.,I did it.,3,
Nathan.,Nathan.,Nathan.,3,
"I was pretty concerned when they delegated it up into tribes and even in that ride in on the truck, you tend to make a bit of a quick connection.","Ero piuttosto preoccupato quando l'hanno delegato alle tribu' e anche in quel giro sul camion, tendevi a fare un po' di connessione veloce.","I was pretty worried when they delegated him to the tribes, and even in that ride on the truck, you tended to make some quick connection.",2,"""I was pretty concerned when they delegated it up into tribes"" sounds more natural."
"Most of the people that I had formed some kind of connection with were on the other side, so I was pretty gutted.","La maggior parte delle persone con cui avevo creato una qualche connessione erano dall'altra parte, quindi ero piuttosto eviscerato.","Most of the people I had created some connection with were on the other side, so I was pretty eviscerated.",1,This uses a stronger word than the original translation makes it sound so much worse
Jack.,Jack.,Jack.,3,
"Cheers, brother.","Salute, fratello.","Cheers, brother.",3,
Good mate.,Bravo amico.,Good man.,3,
Shannon.,Shannon.,Shannon.,3,
Lee.,Lee.,Lee.,3,
Cheers.,Salute.,Cheers.,3,
Michael.,Michael.,Michael.,3,
"Cheers, mate.","Salute, amico.","Cheers, man.",3,
"And of course, Dee.","E ovviamente, Dee.","And of course, Dee.",3,
Thank you very much.,Grazie mille.,Thank you very much.,3,
Yeah.,Si'.,Yeah.,3,
"Guys, purple tribe Yohumosa, named after the bay right here and also Spanish for beautiful.","Ragazzi, tribu' viola Yohumosa, chiamata come la baia proprio qui e anche spagnola per bellezza.","Guys, purple tribe Yohumosa, named after the bay right here and also Spanish for beauty.",3,
"Barb, a tribe name perfectly suited to you, I think.","Barb, un nome della trib√π perfettamente adatto a te, credo.","Barb, a tribe name perfectly suited to you, I think.",3,
