Sentence,POS_Tags,TF_IDF,Sentiment_Score,Custom_Embeddings,Sentence_Length
This is Nicaragua where these 16 New Zealanders are about to begin the adventure of a lifetime.,"[('This', 'DT'), ('is', 'VBZ'), ('Nicaragua', 'NN'), ('where', 'WRB'), ('these', 'DT'), ('16', 'CD'), ('New', 'NNP'), ('Zealanders', 'NNS'), ('are', 'VBP'), ('about', 'IN'), ('to', 'TO'), ('begin', 'NN'), ('the', 'DT'), ('adventure', 'NN'), ('of', 'IN'), ('a', 'DT'), ('lifetime.', 'NN')]",[0.         0.         0.         ... 0.         0.         0.31977355],0.3182,"[-0.01034149  0.02221037  0.00662897 -0.000186    0.012369   -0.0348592
  0.01482735  0.04418793 -0.01592514 -0.01458264 -0.00580877 -0.03017063
 -0.00434849  0.01023094  0.01024741 -0.01338173  0.00572513 -0.01263475
 -0.00513947 -0.03776828  0.01075305  0.01296135  0.01400919 -0.01158776
 -0.00074428  0.0044807  -0.01008219 -0.01084365 -0.02990211  0.0041559
  0.02895534 -0.00277448 -0.00151866 -0.02091294 -0.01178115  0.02096571
  0.01200654 -0.01038494 -0.01196032 -0.02568143  0.00802696 -0.01374054
 -0.01333073  0.00196062  0.02510571 -0.00152376 -0.01293509 -0.00767656
  0.01371145  0.01051283  0.00918817 -0.01447563  0.00058314 -0.00466833
 -0.01971889  0.01022688  0.00274566  0.00487218 -0.01915705  0.00581758
  0.00496527  0.00095519  0.01151336 -0.00917095 -0.01865334  0.01659836
  0.009765    0.02059107 -0.02763022  0.02309067 -0.01619601  0.01453912
  0.02130715  0.00288112  0.02777917  0.01503387 -0.00220785 -0.0013015
 -0.01876353  0.00118476 -0.01337574  0.0022754  -0.01452884  0.02552482
 -0.00512761 -0.0060399   0.01112696  0.01478699  0.01652774  0.00297479
  0.02668617  0.01502431  0.00586788  0.00072728  0.03875996  0.01506727
  0.01783563 -0.01889286 -0.00468882 -0.00507951]",17
I know nothing about Nicaragua.,"[('I', 'PRP'), ('know', 'VB'), ('nothing', 'NN'), ('about', 'IN'), ('Nicaragua.', 'NNP')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-6.85655046e-03  1.62269194e-02  7.33100483e-03  2.20400025e-03
  9.65017639e-03 -3.14319357e-02  1.57862194e-02  3.91338505e-02
 -1.56915579e-02 -1.44728050e-02 -4.88816714e-03 -2.99110468e-02
 -1.05580559e-03  1.06523465e-02  5.01642004e-03 -9.44515225e-03
  4.60175145e-03 -1.24145709e-02 -6.45897398e-03 -3.46602462e-02
  1.28317354e-02  1.50441276e-02  1.49972048e-02 -9.92891751e-03
  2.31351005e-03  3.10886931e-03 -1.40522746e-02 -4.94742114e-03
 -2.53226198e-02  5.37001202e-03  2.85021104e-02  2.72624916e-03
  6.98387157e-03 -2.40445156e-02 -1.33982245e-02  1.69843547e-02
  1.09675061e-02 -1.30449357e-02 -1.36426222e-02 -2.28396468e-02
  3.74262640e-03 -1.05483271e-02 -1.11303041e-02 -3.43240790e-05
  2.45113671e-02 -2.70654703e-03 -1.21890213e-02 -5.41703589e-03
  1.31240012e-02  1.39988568e-02  3.88333504e-03 -1.49730621e-02
 -3.93402588e-04 -2.06630724e-03 -1.66546348e-02  3.09567200e-03
  3.61701474e-03  2.96196598e-03 -1.64115839e-02  8.24256986e-03
  6.07817154e-03 -8.70132790e-05  3.40466946e-03 -4.64539928e-03
 -2.27373857e-02  1.69495232e-02  3.17144347e-03  1.37967495e-02
 -2.44569201e-02  2.17122659e-02 -1.76512133e-02  1.33907618e-02
  2.18131300e-02  6.77706324e-04  2.89757140e-02  9.10033472e-03
 -1.26530183e-03  8.67299852e-04 -1.82108209e-02 -2.25498620e-03
 -1.28146354e-02  4.06363048e-03 -1.55385118e-02  2.61716601e-02
 -9.42435768e-03 -7.30243465e-03  1.72726102e-02  1.49506386e-02
  1.12087820e-02  2.63311155e-03  2.34196074e-02  1.41555518e-02
  3.41942604e-03  2.29442073e-03  3.28427479e-02  1.28218113e-02
  1.56292468e-02 -2.03824211e-02 -6.39933720e-03 -5.28328586e-04]",5
I had no idea where it was.,"[('I', 'PRP'), ('had', 'VBD'), ('no', 'DT'), ('idea', 'NN'), ('where', 'WRB'), ('it', 'PRP'), ('was.', 'VBD')]",[0. 0. 0. ... 0. 0. 0.],-0.296,"[-9.42023285e-03  1.92634873e-02  3.96140711e-03  1.95119041e-03
  7.67402444e-03 -2.82211956e-02  1.42357619e-02  3.35103050e-02
 -1.67442746e-02 -1.56452749e-02 -3.39530408e-03 -2.61346456e-02
 -6.38397830e-03  1.01946648e-02  9.48998146e-03 -1.11819608e-02
  5.07879164e-03 -9.47921257e-03 -3.67628573e-03 -3.46898548e-02
  1.17917415e-02  1.50502771e-02  1.45187201e-02 -5.63194230e-03
 -4.77088906e-04  5.90801332e-03 -9.65647679e-03 -7.99377821e-03
 -2.13293675e-02  5.43597201e-03  2.44864356e-02  3.42971325e-04
  3.29041854e-03 -1.66453309e-02 -5.62930712e-03  1.52049521e-02
  1.12527553e-02 -9.25925653e-03 -1.39784599e-02 -2.56427322e-02
  1.67996995e-03 -1.42842205e-02 -8.21685605e-03  2.32507402e-04
  1.82899870e-02 -1.26788486e-03 -1.15499226e-02 -2.95037916e-03
  1.47400256e-02  9.19628050e-03  3.66716133e-03 -1.07056396e-02
 -2.29718699e-03  4.47671307e-04 -1.59485694e-02  1.01600578e-02
  2.78238533e-03  2.54268129e-03 -1.73548087e-02  6.73123077e-03
  7.36787857e-04 -3.20657018e-05  8.60153791e-03 -5.73960692e-03
 -1.53616071e-02  1.10442806e-02  1.24458103e-02  1.79727059e-02
 -1.82875954e-02  2.10357625e-02 -1.22500043e-02  1.45313339e-02
  1.77413765e-02  3.25336092e-04  2.34426390e-02  9.37789585e-03
 -1.28255691e-04 -2.59781070e-03 -1.01187024e-02 -1.98247981e-05
 -1.08803613e-02  2.85710231e-03 -1.05919568e-02  2.21408252e-02
 -5.53473830e-03 -4.57647955e-03  9.53254756e-03  1.37049314e-02
  1.36441262e-02  2.80878250e-03  2.31563598e-02  1.13588339e-02
  5.71456552e-03  2.34021782e-03  3.25332433e-02  1.13023454e-02
  1.53514920e-02 -1.93611104e-02 -1.14438601e-03  1.71382562e-03]",7
I actually didn't know where South America or North North America was.,"[('I', 'PRP'), ('actually', 'RB'), (""didn't"", 'VBD'), ('know', 'VB'), ('where', 'WRB'), ('South', 'NNP'), ('America', 'NNP'), ('or', 'CC'), ('North', 'NN'), ('North', 'NN'), ('America', 'NNP'), ('was.', 'VBD')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-0.00097807  0.01332586  0.00150458  0.00204686  0.00245625 -0.02046294
  0.01248319  0.02398019 -0.00752949 -0.00812376 -0.00302731 -0.01481327
 -0.0007007   0.00786625  0.00726004 -0.00700405  0.00405982 -0.0081508
 -0.00081326 -0.02157126  0.01054757  0.00756931  0.00352462 -0.00382492
  0.00103714  0.00353377 -0.00467514 -0.00584655 -0.01629617  0.00232028
  0.01705001 -0.00075819 -0.0005989  -0.01263627 -0.00547459  0.01255907
  0.00701984 -0.00709903 -0.0066634  -0.01491107  0.00036131 -0.00798094
 -0.00596059  0.00173668  0.01226019  0.00039347 -0.01075173 -0.00243602
  0.00862997  0.00943801  0.00583686 -0.00879672  0.00042352 -0.00250775
 -0.01040718  0.00730689  0.00492522 -0.0005559  -0.01194329  0.00598621
  0.00346897  0.00065759  0.00030887 -0.00495259 -0.01174087  0.00890726
  0.00455623  0.01408846 -0.01269795  0.01081136 -0.01097573  0.00720069
  0.01289614 -0.00187251  0.01607314  0.00732997  0.00033778  0.00182522
 -0.01023807 -0.00164379 -0.00898375  0.00224264 -0.00679248  0.01648663
 -0.0040582   0.00110574  0.0071438   0.0082607   0.00897024  0.0009267
  0.01944433  0.0095161   0.0023376   0.00253973  0.02265978  0.00725117
  0.00621149 -0.01062937 -0.00215511  0.00075537]",12
So I guess it's a massive shock because I'm from a little small town.,"[('So', 'RB'), ('I', 'PRP'), ('guess', 'NN'), (""it's"", 'PRP'), ('a', 'DT'), ('massive', 'JJ'), ('shock', 'NN'), ('because', 'IN'), (""I'm"", 'PRP'), ('from', 'IN'), ('a', 'DT'), ('little', 'JJ'), ('small', 'JJ'), ('town.', 'NN')]",[0. 0. 0. ... 0. 0. 0.],-0.3818,"[-0.01165654  0.02195341  0.0063767  -0.0018687   0.01179769 -0.03886969
  0.01627437  0.044213   -0.01307162 -0.016474   -0.00653654 -0.02720972
 -0.00300956  0.00849347  0.00933153 -0.01364455  0.00680486 -0.01716354
 -0.00381336 -0.03720383  0.01433847  0.01406024  0.01327079 -0.00924985
 -0.00128662  0.00356779 -0.00860316 -0.00607799 -0.02905322  0.00173837
  0.02887492 -0.00011256 -0.00059844 -0.0201912  -0.01195174  0.02259437
  0.01381179 -0.01210481 -0.01695938 -0.02589212  0.00764577 -0.01280809
 -0.01078626 -0.00378087  0.02302861 -0.00258523 -0.01585685 -0.00530092
  0.01187988  0.01148284  0.00930795 -0.01216492 -0.00364754 -0.00583265
 -0.01758626  0.00913444  0.00481995  0.00491135 -0.01913558  0.00698693
  0.00540506  0.00178041  0.00936841 -0.0090202  -0.01555456  0.01739569
  0.01089765  0.01970022 -0.02699146  0.02000858 -0.01800373  0.01590572
  0.01890226  0.00011441  0.02740221  0.01219678  0.00138597 -0.001056
 -0.02061443 -0.00119054 -0.01415852  0.00362992 -0.01579366  0.02866513
 -0.00876299 -0.00599596  0.0136429   0.01734553  0.01475189  0.00504354
  0.02710107  0.01415467  0.00312638  0.00422439  0.03525154  0.01393006
  0.01657156 -0.02004169 -0.0057397  -0.00262622]",14
"It is the biggest country in Central America with a rich history colored with conflict and revolution, which is why it's fitting our fresh faced Kiwi survivors should face their own battle right here.","[('It', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('biggest', 'JJS'), ('country', 'NN'), ('in', 'IN'), ('Central', 'JJ'), ('America', 'NNP'), ('with', 'IN'), ('a', 'DT'), ('rich', 'JJ'), ('history', 'NN'), ('colored', 'VBN'), ('with', 'IN'), ('conflict', 'NN'), ('and', 'CC'), ('revolution,', 'NN'), ('which', 'WDT'), ('is', 'VBZ'), ('why', 'WRB'), (""it's"", 'PRP'), ('fitting', 'NN'), ('our', 'PRP$'), ('fresh', 'JJ'), ('faced', 'VBN'), ('Kiwi', 'NNP'), ('survivors', 'NNS'), ('should', 'MD'), ('face', 'NN'), ('their', 'PRP$'), ('own', 'JJ'), ('battle', 'NN'), ('right', 'NN'), ('here.', 'RB')]",[0. 0. 0. ... 0. 0. 0.],0.25,"[-6.85430272e-03  1.35368034e-02  3.01792379e-03 -1.73775494e-04
  6.67794794e-03 -2.26108935e-02  9.51524172e-03  2.73456331e-02
 -8.76594335e-03 -7.47706369e-03 -4.04413324e-03 -1.80528127e-02
 -1.50461087e-03  5.46837831e-03  6.77794730e-03 -9.30403266e-03
  2.69754184e-03 -9.51659679e-03 -3.25946859e-03 -2.32047085e-02
  7.43062515e-03  8.77237041e-03  8.26286804e-03 -9.84025095e-03
 -6.04876492e-04  1.45853404e-03 -6.83816662e-03 -4.25549969e-03
 -1.95436869e-02  1.38210237e-03  2.04984993e-02  2.13500415e-03
  6.90242450e-05 -1.37097985e-02 -7.64350221e-03  1.44190080e-02
  7.56592257e-03 -6.55527180e-03 -8.74455180e-03 -1.73082892e-02
  3.50396405e-03 -9.36964806e-03 -6.40116027e-03 -1.31938665e-03
  1.61836781e-02 -1.14204793e-03 -9.94118024e-03 -4.34046891e-03
  7.83098582e-03  7.59594329e-03  6.57604961e-03 -8.11996870e-03
 -1.50580739e-03 -3.57490429e-03 -1.10522853e-02  6.13795081e-03
  2.45064683e-03  2.41482118e-03 -1.14456471e-02  3.46610276e-03
  3.47181782e-03  1.48860028e-03  8.73786490e-03 -4.43720818e-03
 -1.35240778e-02  1.13413259e-02  7.28020445e-03  1.23726493e-02
 -1.84298139e-02  1.44162904e-02 -1.27832089e-02  1.03569683e-02
  1.43796131e-02  2.35605706e-03  1.69623457e-02  7.67785916e-03
 -1.11228052e-04 -1.87788857e-03 -1.25488499e-02 -1.04172132e-03
 -9.51311551e-03  3.33718420e-03 -1.15150455e-02  1.96927041e-02
 -4.56767948e-03 -3.95010784e-03  8.34725890e-03  1.00662783e-02
  1.08580813e-02  4.71098581e-03  1.86997205e-02  8.58209189e-03
  3.51502514e-03  6.99043623e-04  2.29376648e-02  1.04595255e-02
  1.15908626e-02 -1.31692290e-02 -1.62721949e-03 -2.97400658e-03]",34
"This is my game, this is my passion.","[('This', 'DT'), ('is', 'VBZ'), ('my', 'PRP$'), ('game,', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('my', 'PRP$'), ('passion.', 'NN')]",[0. 0. 0. ... 0. 0. 0.],0.4588,"[-0.01202382  0.02489052  0.00448687 -0.00204057  0.01113295 -0.03469958
  0.01839606  0.04561019 -0.01496192 -0.01334945 -0.00407891 -0.03321961
 -0.00142652  0.01093261  0.01215219 -0.0159417   0.00244134 -0.00991762
 -0.00456937 -0.0405659   0.01301858  0.0147693   0.01153959 -0.01235149
 -0.00080459  0.00677858 -0.01201404 -0.01006803 -0.02753091 -0.00010901
  0.02698992  0.00153471  0.00439526 -0.02098596 -0.01374684  0.02207605
  0.01361238 -0.00968717 -0.01505444 -0.02839951  0.00567039 -0.01140558
 -0.01145145 -0.00045926  0.02665595 -0.00730283 -0.01000809 -0.00665773
  0.01489592  0.01051974  0.01135244 -0.01286748 -0.00333475 -0.00629533
 -0.01585267  0.00479341  0.00411077  0.00152699 -0.01783733  0.00278186
  0.00068281 -0.0010172   0.01200411 -0.01017858 -0.02033843  0.0170123
  0.00955016  0.02315837 -0.03160243  0.02459348 -0.01631879  0.01701802
  0.02224352  0.00188934  0.02973423  0.01229008 -0.00042552 -0.00501844
 -0.02068976 -0.000798   -0.01678183 -0.00123955 -0.01677063  0.02578409
 -0.00390525 -0.00855468  0.01265999  0.01755835  0.01807266  0.00533746
  0.02615366  0.01385183  0.01033661  0.00276037  0.03992191  0.01680385
  0.02251761 -0.0139954  -0.00317175 -0.00260027]",8
"I know how to mess with people, but I also know how to get them to trust me.","[('I', 'PRP'), ('know', 'VB'), ('how', 'WRB'), ('to', 'TO'), ('mess', 'NN'), ('with', 'IN'), ('people,', 'NNS'), ('but', 'CC'), ('I', 'PRP'), ('also', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('to', 'TO'), ('get', 'VB'), ('them', 'PRP'), ('to', 'TO'), ('trust', 'NN'), ('me.', 'PRP')]",[0. 0. 0. ... 0. 0. 0.],0.5719,"[-1.27982721e-02  2.74987463e-02  6.15619635e-03  3.09873256e-04
  1.23323090e-02 -4.80547659e-02  2.00697910e-02  5.56268841e-02
 -2.05788519e-02 -2.11677663e-02 -7.37289572e-03 -3.76319140e-02
 -6.21378655e-03  1.60234291e-02  9.41095874e-03 -1.61147919e-02
  8.08014162e-03 -1.79116279e-02 -5.35940984e-03 -4.75693978e-02
  1.68191567e-02  1.65469907e-02  1.82971209e-02 -1.44683318e-02
 -2.03788411e-04  1.27583102e-03 -1.21595180e-02 -1.02811493e-02
 -3.78586575e-02  5.53015899e-03  3.63064297e-02  2.41859016e-04
  4.47973097e-03 -3.20843011e-02 -1.50446845e-02  2.46252939e-02
  1.57264024e-02 -1.40301688e-02 -1.41051114e-02 -3.39354537e-02
  7.96587579e-03 -1.81224905e-02 -1.43935466e-02 -2.71172286e-03
  3.23807336e-02  5.90352050e-04 -1.75994840e-02 -8.22002161e-03
  1.89736746e-02  1.63362622e-02  1.23140551e-02 -1.68820880e-02
 -2.49900646e-03 -4.65667015e-03 -1.96632594e-02  1.35696335e-02
  6.49872981e-03  5.19668683e-03 -2.41503585e-02  1.07516153e-02
  3.79610062e-03  6.27357571e-04  8.67920928e-03 -1.03794886e-02
 -2.32207030e-02  2.29136571e-02  1.38700437e-02  2.14094650e-02
 -3.22739482e-02  3.15512568e-02 -2.09035650e-02  1.51102757e-02
  2.67802775e-02 -7.43826649e-06  3.55536565e-02  1.38788419e-02
  7.43070996e-05 -3.11360171e-04 -2.32324731e-02 -1.18435791e-03
 -1.74033996e-02  4.51410841e-03 -2.17472184e-02  3.43557857e-02
 -9.22719389e-03 -9.48468223e-03  1.48500400e-02  1.85508206e-02
  2.29123309e-02  8.44048243e-03  3.50409374e-02  1.56861972e-02
  6.35445304e-03  1.34611235e-03  4.00692672e-02  1.94132831e-02
  2.06201375e-02 -2.65619345e-02 -6.97807781e-03 -9.45094973e-04]",18
"And I'm funny, I'm charming.","[('And', 'CC'), (""I'm"", 'PRP'), ('funny,', 'NN'), (""I'm"", 'PRP'), ('charming.', 'NN')]",[0. 0. 0. ... 0. 0. 0.],0.7717,"[-0.00844432  0.01386049 -0.0010962   0.00408892  0.006332   -0.02610954
  0.00684156  0.02992541 -0.00802957 -0.01272024 -0.0025097  -0.02371483
 -0.00196784  0.00614236 -0.00026557 -0.00595319  0.00258979 -0.0156051
 -0.00066807 -0.02553565  0.00853917  0.01117342  0.00422758 -0.00798863
  0.00193075  0.00517118 -0.0122742   0.00053531 -0.02175017  0.00093052
  0.01955854  0.00298179  0.00292358 -0.00724927 -0.00914866  0.01879813
  0.01357089 -0.00753477 -0.0084629  -0.01758087  0.00471965 -0.00642366
 -0.00515058 -0.00024967  0.01564428 -0.00111515 -0.00864405 -0.00177106
  0.01177202  0.01289221  0.00604731 -0.00640405 -0.00404509  0.00046603
 -0.01039537  0.00437618  0.00204814 -0.00068929 -0.00885543  0.00212905
  0.00268911  0.00474351  0.01275632 -0.00221592 -0.01441798  0.00746561
  0.00572779  0.00980963 -0.01686775  0.01475034 -0.00560766  0.01164692
  0.01341656 -0.00353795  0.01926531  0.00627187 -0.00452049 -0.00416096
 -0.00731162  0.00049072 -0.00782277  0.00272225 -0.01050158  0.01797779
 -0.00379424 -0.01075582  0.00397052  0.014332    0.01046676  0.00448929
  0.01414111  0.01292581  0.00471435  0.00515342  0.02620194  0.00706099
  0.00931367 -0.0084609   0.00093621 -0.00295734]",5
I've got it all staged in the lush tropical jungle filled with diverse and dangerous wildlife.,"[(""I've"", 'PRP'), ('got', 'VBD'), ('it', 'PRP'), ('all', 'DT'), ('staged', 'VBD'), ('in', 'IN'), ('the', 'DT'), ('lush', 'NN'), ('tropical', 'JJ'), ('jungle', 'NN'), ('filled', 'VBN'), ('with', 'IN'), ('diverse', 'NN'), ('and', 'CC'), ('dangerous', 'JJ'), ('wildlife.', 'NN')]",[0. 0. 0. ... 0. 0. 0.],-0.4767,"[-7.9847518e-03  1.9049579e-02  4.3948898e-03 -2.4679287e-03
  9.4454214e-03 -3.1231023e-02  1.2389527e-02  3.6978994e-02
 -1.3351585e-02 -1.2929295e-02 -6.3925837e-03 -2.7620608e-02
 -3.7530225e-03  9.9091856e-03  5.1810052e-03 -1.2845497e-02
  4.0758145e-03 -1.1542874e-02 -7.8967714e-04 -3.4959983e-02
  1.1808935e-02  1.2208879e-02  1.1248442e-02 -9.6616354e-03
 -7.9741323e-04  1.7810585e-03 -6.8016225e-03 -7.1504982e-03
 -2.3808811e-02  2.5274155e-03  2.6917141e-02  2.7905877e-03
  9.2127215e-04 -2.0420035e-02 -6.4673480e-03  1.6310392e-02
  1.1702732e-02 -1.2338120e-02 -1.3032957e-02 -2.6413048e-02
  3.1369999e-03 -1.2887557e-02 -1.0887809e-02  3.3832085e-03
  2.2844832e-02 -5.9064897e-03 -1.2368110e-02 -5.5570840e-03
  1.3653574e-02  1.0321240e-02  8.8790758e-03 -1.0311216e-02
 -6.0945493e-04 -4.0324973e-03 -1.4742388e-02  9.3776686e-03
  3.8955291e-03  2.2218609e-03 -1.9304119e-02  5.9327013e-03
  3.3939441e-03  2.0293324e-04  7.3042661e-03 -6.8901740e-03
 -1.6323153e-02  1.7654568e-02  1.0398073e-02  1.6771382e-02
 -2.3210896e-02  2.1216987e-02 -1.6399635e-02  1.4156586e-02
  1.9065067e-02  1.4016597e-03  2.4246918e-02  1.2311335e-02
  1.5008023e-03  6.8324961e-04 -1.6049651e-02 -2.9094280e-03
 -1.3388352e-02  3.1011314e-03 -1.7048379e-02  2.5378600e-02
 -6.4665787e-03 -2.5246795e-03  1.0430690e-02  1.5429620e-02
  1.7957171e-02  6.3979547e-03  2.6396180e-02  1.2919701e-02
  5.2902144e-03 -7.9834834e-05  3.0507004e-02  1.1666915e-02
  1.3462559e-02 -1.7052541e-02 -4.5613912e-03 -3.1863453e-03]",16
