Original Transcription,Corrected Transcription
This is Nicaragua where these 16 New Zealanders are about to begin the adventure of a lifetime.,This is Nicaragua where these 16 New Zealanders are about to begin the adventure of a lifetime.
I know nothing about Nicaragua.,I know nothing about Nicaragua.
I had no idea where it was.,I had no idea where it was.
I actually didn't know where South America or North North America was.,I actually didn't know where South America or North North America was.
So I guess it's a massive shock because I'm from a little small town.,So I guess it's a massive shock because I'm from a little small town.
"It is the biggest country in Central America with a rich history colored with conflict and revolution, which is why it's fitting our fresh faced Kiwi survivors should face their own battle right here.","It is the biggest country in Central America with a rich history colored with conflict and revolution, which is why it's fitting our fresh faced Kiwi survivors should face their own battle right here."
"This is my game, this is my passion.","This is my game, this is my passion."
"I know how to mess with people, but I also know how to get them to trust me.","I know how to mess with people, but I also know how to get them to trust me."
"And I'm funny, I'm charming.","And I'm funny, I'm charming."
I've got it all staged in the lush tropical jungle filled with diverse and dangerous wildlife.,I've got it all staged in the lush tropical jungle filled with diverse and dangerous wildlife.
"Yes, there are jaguars, snakes, scorpions and big ugly spiders.","Yes, there are jaguars, snakes, scorpions and big ugly spiders."
"They are out there, but they've always been out.","They are out there, but they've always been out."
It's not like every day a kiwi wakes up and looks outside and sees a jaguar or a tarantula.,It's not like every day a kiwi wakes up and looks outside and sees a jaguar or a tarantula.
"And I'll take on any gang member, but I won't take on a spider.","And I'll take on any gang member, but I won't take on a spider."
Just how will New Zealanders cope competing in the world's toughest game?,Just how will New Zealanders cope competing in the world's toughest game?
"8,000 people applied, just 16 will make it to the beach.","8,000 people applied, just 16 will make it to the beach."
"But in 40 days time, there will be only one Survivor.","But in 40 days time, there will be only one Survivor."
"Come on over, guys.","Come on over, guys."
I am so excited.,I am so excited.
Just standing on this beach is unreal.,Just standing on this beach is unreal.
I have to keep pinching myself and reminding myself where I am.,I have to keep pinching myself and reminding myself where I am.
It's just like an absolute dream to me.,It's just like an absolute dream to me.
Welcome to Nicaragua and New Zealand's first ever Survivor.,Welcome to Nicaragua and New Zealand's first ever Survivor.
"In this first season, 16 of you will be competing against one another to see who can outwit, outlast and outplay the rest and take away $100,000.","In this first season, 16 of you will be competing against one another to see who can outwit, outlast and outplay the rest and take away $100,000."
I dream of being in a Tribal Council.,I dream of being in a Tribal Council.
"I dream of being on the sand, I dream of in the water.","I dream of being on the sand, I dream of in the water."
"Like, this is incredible.","Like, this is incredible."
Any of you more than happy to be labelled the villain if it means winning this game?,Any of you more than happy to be labelled the villain if it means winning this game?
Dee?,Dee?
I'm in.,I'm in.
I'm surprised by your answer.,I'm surprised by your answer.
"I think that generally I'm gonna be labelled the villain just for the way that I look, so I might as well accept that.","I think that generally I'm going to be labelled the villain just for the way that I look, so I might as well accept that."
"And if it means winning the game, why wouldn't you do whatever it takes?","And if it means winning the game, why wouldn't you do whatever it takes?"
Do you think Dee's already looking like the villain?,Do you think Dee's already looking like the villain?
You never know.,You never know.
Looks can be deceiving.,Looks can be deceiving.
Any of you guys think you've got game when it comes to the physical challenges?,Any of you guys think you've got game when it comes to the physical challenges?
Nathan?,Nathan?
"Maybe a few years ago, but I'm an old man now who thinks they can put food on the table.","Maybe a few years ago, but I'm an old man now who thinks they can put food on the table."
"Tony, how are you gonna do that?","Tony, how are you going to do that?"
"Well, there's a lot of Stuff that creeps around out there in the bush.","Well, there's a lot of stuff that creeps around out there in the bush."
I'm sure I can come up with something that is edible.,I'm sure I can come up with something that is edible.
Things they teach as a soldier is attention to detail.,Things they teach as a soldier is attention to detail.
I'm also a former unit tractor track a human through the bush.,I'm also a former unit tracker track a human through the bush.
I can stay on this beach for a month and all I need water.,I can stay on this beach for a month and all I need is water.
"I mean, this environment.","I mean, this environment."
"Yes, it's hot.","Yes, it's hot."
It's horrible.,It's horrible.
"Hey, guess what?","Hey, guess what?"
This is Survivor.,This is Survivor.
"All right, let's get into it.","All right, let's get into it."
First things first.,First things first.
"The teams come forward and take your buff, orange buffs, your Mogoton.","The teams come forward and take your buff, orange buffs, your Mogoton."
Salah.,Salah.
Woohoo.,Woohoo.
Anna.,Anna.
I am plus size.,I am plus size.
"I'm as a model, I play roller derby and I am a powerlifter.","I'm as a model, I play roller derby and I am a powerlifter."
Abby.,Abby.
Isabelle.,Isabelle.
Hey.,Hey.
I'm here on Survivor because I can't resist a challenge.,I'm here on Survivor because I can't resist a challenge.
I love proving people wrong and I just love it when people get surprised and they think I can't do something and then I do it.,I love proving people wrong and I just love it when people get surprised and they think I can't do something and then I do it.
Tom.,Tom.
"Gosh, my heart's racing.","Gosh, my heart's racing."
Shayna.,Shayna.
Yeah.,Yeah.
Anthony.,Anthony.
Anthony.,Anthony.
"And last but probably not least, Louisa.","And last but probably not least, Louisa."
Thanks.,Thanks.
"Cheers, Sala.","Cheers, Sala."
"And Shayna, you're looking pretty stoked.","And Shayna, you're looking pretty stoked."
How are you feeling about your new tribe?,How are you feeling about your new tribe?
"I've got my brother from another mother over here, which I'm really happy about.","I've got my brother from another mother over here, which I'm really happy about."
"Shay, when she walked over and she said, you know, brother from another mother, that saying worried me because it's felt like a strategic backline alliance.","Shay, when she walked over and she said, you know, brother from another mother, that saying worried me because it's felt like a strategic backline alliance."
"Your Mogoton tribe, named after Nicaragua's highest mountain.","Your Mogoton tribe, named after Nicaragua's highest mountain."
"Be interesting to see if you can live up to your mighty name, which means purple buffs for you other guys.","Be interesting to see if you can live up to your mighty name, which means purple buffs for you other guys."
Barb.,Barb.
Yes.,Yes.
I look good in blue.,I look good in blue.
"It's purple, isn't it?","It's purple, isn't it?"
"No, but it's a cool colour.","No, but it's a cool colour."
Okay.,Okay.
Georgia.,Georgia.
"I don't know why I had this feeling, but I didn't want to be in that first team.","I don't know why I had this feeling, but I didn't want to be in that first team."
I was actually stoked.,I was actually stoked.
"When I looked around, saw the members, I was so super happy.","When I looked around, saw the members, I was so super happy."
Made it.,Made it.
Made it.,Made it.
Nathan.,Nathan.
"I was pretty concerned when they delegated it up into tribes and even in that ride in on the truck, you tend to make a bit of a quick connection.","I was pretty concerned when they delegated it up into tribes and even in that ride in on the truck, you tend to make a bit of a quick connection."
"Most of the people that I had formed some kind of connection with were on the other side, so I was pretty gutted.","Most of the people that I had formed some kind of connection with were on the other side, so I was pretty gutted."
Jack.,Jack.
"Cheers, brother.","Cheers, brother."
Good mate.,Good mate.
Shannon.,Shannon.
Lee.,Lee.
Cheers.,Cheers.
Michael.,Michael.
"Cheers, mate.","Cheers, mate."
"And of course, Dee.","And of course, Dee."
Thank you very much.,Thank you very much.
Yeah.,Yeah.
"Guys, purple tribe Yohumosa, named after the bay right here and also Spanish for beautiful.","Guys, purple tribe Hermosa, named after the bay right here and also Spanish for beautiful."
"Barb, a tribe name perfectly suited to you, I think.","Barb, a tribe name perfectly suited to you, I think."
I think it's perfectly an apt name.,I think it's perfectly an apt name.
"Michael, what are you making new tribemates?","Michael, what are you making new tribemates?"
"Yeah, I'm really happy what I got.","Yeah, I'm really happy what I got."
It looks like we've got a pretty competitive team.,It looks like we've got a pretty competitive team.
"So when I look around at the other tribes, as Matt's called them out, I see that Mike and Lee and Jack and Nathan, you know, the people who I had made a quick and easy bond with are on the other side, but I feel like I don't know these people.","So when I look around at the other tribes, as Matt's called them out, I see that Mike and Lee and Jack and Nathan, you know, the people who I had made a quick and easy bond with are on the other side, but I feel like I don't know these people."
"Soak up the atmosphere and enjoy being part of the team, guys, because by the end of the day, two of you will no longer be in these trib.","Soak up the atmosphere and enjoy being part of the team, guys, because by the end of the day, two of you will no longer be in these trib."
That's right.,That's right.
"One person from Mogaton, one from Hermosa will be voted out at the very first Tribal Council tonight.","One person from Mogaton, one from Hermosa will be voted out at the very first Tribal Council tonight."
Gone just like that.,Gone just like that.
"Georgia, you are looking very worried.","Georgia, you are looking very worried."
Why so worried?,Why so worried?
That sucks.,That sucks.
It's day one and already we've got to vote someone out.,It's day one and already we've got to vote someone out.
That's.,That's.
That's so stink.,That's so stink.
We're not even on the ground and bang.,We're not even on the ground and bang.
Someone's going home.,Someone's going home.
"Ah, unfair.","Ah, unfair."
Someone has to go home and they haven't even been given a chance to put their best foot forward.,Someone has to go home and they haven't even been given a chance to put their best foot forward.
You guys know you're here to play a game.,You guys know you're here to play a game.
It's a harsh game for day one.,It's a harsh game for day one.
It's a harsh game from day one.,It's a harsh game from day one.
I reckon you guys have got it pretty well worked out already.,I reckon you guys have got it pretty well worked out already.
"Alright, no mucking around getting into this competition either.","Alright, no mucking around getting into this competition either."
We're kicking things off with a challenge right now.,We're kicking things off with a challenge right now.
Of course we are.,Of course we are.
George is feeling pretty good about that.,George is feeling pretty good about that.
I'm going to give you two minutes to clean everything off this boat you can.,I'm going to give you two minutes to clean everything off this boat you can.
Whatever you have on your tri mat at the finish is yours to keep.,Whatever you have on your tri mat at the finish is yours to keep.
"Come on, guys.","Come on, guys."
"The big prize, the large sack of rice and flint is locked in the chest in the middle of the boat.","The big prize, the large sack of rice and flint is locked in the chest in the middle of the boat."
"But before you get to that, you're going to have to find a key buried under one of these coloured rocks.","But before you get to that, you're going to have to find a key buried under one of these coloured rocks."
I have made a fire before without flint.,I have made a fire before without flint.
It takes a lot of time and a lot of perseverance.,It takes a lot of time and a lot of perseverance.
Survivors ready?,Survivors ready?
Your time starts now.,Your time starts now.
Go.,Go.
This challenge is on.,This challenge is on.
Bit of strategy already at play here.,Bit of strategy already at play here.
Both teams going for the key.,Both teams going for the key.
Both teams going for the loop.,Both teams going for the loop.
Tom is digging hard.,Tom is digging hard.
No one's found the key.,No one's found the key.
Just how important is that rice and that flint?,Just how important is that rice and that flint?
Flint creates fire.,Flint creates fire.
Fire boils water.,Fire boils water.
Bogaton getting some good loot already.,Mogotón getting some good loot already.
90 seconds remaining.,90 seconds remaining.
Both tribes working hard.,Both tribes working hard.
No surprise.,No surprise.
Barb's gone for the vegetables.,Barb's gone for the vegetables.
Salah losing some gravy.,Salah losing some gravy.
Arby's working hard.,Barb's working hard.
Looks like Bogatom got the front edge at this point.,Looks like Bogatom got the front edge at this point.
Jack is working hard.,Jack is working hard.
Tom's still digging.,Tom's still digging.
Michael's digging.,Michael's digging.
30 seconds to go.,30 seconds to go.
Dig it in.,Dig it in.
You gotta start as you mean to go on.,You gotta start as you mean to go on.
"Isabelle, she has got this game down.","Isabelle, she has got this game down."
